"","Allocated.Time","Web.or.Phone","Answered.by.specialist","Holiday.Type","Accom.type","Dep.Airport","Lead.Time","Destination","Duration","Adults","Children","Transport.Type","Answered.Q","Notes.Completed","Title","Enquiry.Comments","Booked.Status","EnquiryYear","EnquiryMonth","EnquiryDay","EnquiryWeekday","DepYear","DepMonth","DepDay","DepWeekday","Enquiry.Timecat","Enquiry.Time_class","DepartureSeason","Gender"
"537","Extremely Fast","WEB","0","B","grade2","OTHER",22," LV",9,4,0,"B","NO","NO","Mrs","NO","0","2018","3",7,"Wednesday","2018","8",8,"Wednesday","Business_Hour","morning","summer","F"
"538","Slow","WEB","1","A","grade2","GG",79," AB",14,2,0,"B","NO","NO","Mrs","NO","0","2018","3",8,"Thursday","2019","9",13,"Friday","Closed","morning","fall","F"
"539","Extremely Fast","WEB","0","A","grade3","Lon Gat",110," AC",21,2,3,"A","NO","NO","Mrs","NO","0","2018","3",10,"Saturday","2020","4",16,"Thursday","Business_Hour","morning","spring","F"
"540","Extremely Fast","WEB","0","A","grade2","Lon All",10," AA Resort",14,1,1,"B","NO","NO","Mrs","NO","0","2018","3",12,"Monday","2018","5",25,"Friday","Business_Hour","morning","spring","F"
"541","Slow","WEB","1","B","grade2","Lon All",37," LV",6,6,0,"B","NO","NO","Mr","NO","0","2018","3",12,"Monday","2018","12",1,"Saturday","Closed","morning","winter","M"
"542","Extremely Fast","WEB","1","B","grade2","MCH",57,"OTHER",12,2,0,"B","YES","YES","Mrs","NO","0","2018","3",13,"Tuesday","2019","4",16,"Tuesday","Business_Hour","morning","spring","F"
"543","Slow","WEB","1","C","grade1","Any Airport",46," AC",28,2,0,"A","YES","YES","Mrs","NO","0","2018","3",16,"Friday","2019","1",28,"Monday","Closed","morning","winter","F"
"544","Extremely Fast","WEB","1","E","None","Lon All",54," AB",16,7,1,"A","NO","NO","Mrs","NO","0","2018","3",18,"Sunday","2019","4",3,"Wednesday","Business_Hour","morning","spring","F"
"545","Slow","WEB","1","A","grade1","Lon All",73," AC",21,4,1,"A","NO","NO","Mrs","NO","0","2018","3",18,"Sunday","2019","8",13,"Tuesday","Business_Hour","morning","summer","F"
"546","Fast","WEB","0","A","grade1","Lon All",1," AC",14,3,1,"A","NO","NO","Miss","NO","0","2018","3",18,"Sunday","2018","3",31,"Saturday","Business_Hour","morning","spring","F"
"547","Fast","WEB","1","E","None","Lon All",39," AC",13,5,0,"A","YES","YES","Miss","NO","0","2018","3",18,"Sunday","2018","12",19,"Wednesday","Business_Hour","afternoon","winter","F"
"548","Extremely Fast","PHONE","0","A","grade2","MCH",73," AB",7,6,0,"A","NO","NO","Mrs","NO","1","2018","3",21,"Wednesday","2019","8",15,"Thursday","Business_Hour","afternoon","summer","F"
"549","Extremely Fast","WEB","0","A","grade1","Lon All",57," AC",14,5,0,"B","YES","YES","Mrs","NO","1","2018","3",21,"Wednesday","2019","4",22,"Monday","Closed","morning","spring","F"
"550","Extremely Fast","WEB","1","B","grade3","MCH",72,"OTHER",10,4,0,"A","NO","NO","Mrs","NO","0","2018","3",21,"Wednesday","2019","8",5,"Monday","Closed","morning","summer","F"
"551","Extremely Fast","WEB","0","A","grade2","GG",66," AA Resort",14,2,2,"A","NO","NO","Mrs","NO","1","2018","3",23,"Friday","2019","6",28,"Friday","Business_Hour","morning","summer","F"
"552","Extremely Fast","WEB","0","A","grade2","MCH",22," AC",14,2,0,"A","NO","NO","Mrs","NO","0","2018","3",29,"Thursday","2018","8",27,"Monday","Closed","morning","summer","F"
"553","Slow","WEB","1","B","grade1","Lon Gat",13," JH Area",18,5,0,"A","YES","YES","Mr","NO","0","2018","3",31,"Saturday","2018","6",24,"Sunday","Business_Hour","morning","summer","M"
"554","Slow","WEB","1","B","grade1","GG",79," DC Drive",14,3,0,"A","YES","YES","Mr","NO","0","2018","3",31,"Saturday","2019","10",5,"Saturday","Business_Hour","morning","fall","M"
"555","Slow","WEB","1","E","None","MCH",29," AC",10,2,0,"A","YES","YES","Mr","NO","0","2018","4",1,"Sunday","2018","10",27,"Saturday","Business_Hour","morning","fall","M"
"556","Slow","WEB","0","A","grade1","MCH",59," AC",14,3,2,"A","NO","NO","Miss","NO","0","2018","4",1,"Sunday","2019","5",24,"Friday","Business_Hour","afternoon","spring","F"
"557","Extremely Fast","WEB","1","A","grade1","Lon All",33," JH Area",14,2,0,"A","NO","NO","Mrs","NO","0","2018","4",2,"Monday","2018","11",23,"Friday","Closed","morning","fall","F"
"558","Slow","WEB","1","E","None","MCH",79," AB",14,6,2,"A","YES","YES","Mr","NO","0","2018","4",2,"Monday","2019","10",9,"Wednesday","Business_Hour","afternoon","fall","M"
"559","Extremely Fast","PHONE","0","A","grade2","Lon All",71," NM AB Resort",14,2,0,"A","NO","NO","Mrs","NO","1","2018","4",3,"Tuesday","2019","8",14,"Wednesday","Business_Hour","morning","summer","F"
"560","Slow","WEB","1","A","grade1","Lon Gat",68," AC",28,4,3,"B","YES","YES","Mr","NO","0","2018","4",4,"Wednesday","2019","7",25,"Thursday","Closed","morning","summer","M"
"561","Slow","WEB","0","A","grade2","Lon All",16," AC",10,2,1,"B","YES","YES","Miss","NO","0","2018","4",4,"Wednesday","2018","7",28,"Saturday","Business_Hour","night","summer","F"
"562","Slow","WEB","1","A","grade3","MCH",16,"OTHER",6,2,0,"B","NO","NO","Mr","NO","0","2018","4",7,"Saturday","2018","7",27,"Friday","Closed","morning","summer","M"
"563","Slow","WEB","1","A","grade1","Lon Gat",81," AC",14,2,2,"A","NO","NO","Mr","NO","0","2018","4",7,"Saturday","2019","10",21,"Monday","Business_Hour","afternoon","fall","M"
"564","Slow","WEB","1","A","grade2","Lon All",78," AB",14,6,0,"B","YES","YES","Mr","NO","0","2018","4",9,"Monday","2019","10",7,"Monday","Business_Hour","night","fall","M"
"565","Fast","PHONE","1","A","grade2","Lon All",14," NM AB Resort",10,2,0,"B","YES","YES","Mrs","NO","1","2018","4",10,"Tuesday","2018","7",16,"Monday","Business_Hour","morning","summer","F"
"566","Slow","WEB","1","D","grade3","Lon All",51," DC Drive",7,4,1,"A","NO","NO","Mr","NO","0","2018","4",10,"Tuesday","2019","4",6,"Saturday","Business_Hour","morning","spring","M"
"567","Slow","WEB","1","B","grade2","OTHER",27," AB",14,3,1,"A","NO","NO","Mrs","NO","0","2018","4",12,"Thursday","2018","10",14,"Sunday","Business_Hour","morning","fall","F"
"568","Slow","WEB","1","A","grade2","MCH",74," AC",14,2,0,"None Required","NO","NO","Mrs","NO","0","2018","4",12,"Thursday","2019","9",12,"Thursday","Closed","morning","fall","F"
"569","Slow","WEB","1","A","grade1","Lon All",22," AB",13,4,0,"None Required","YES","YES","Mr","NO","0","2018","4",15,"Sunday","2018","9",17,"Monday","Business_Hour","morning","fall","M"
"570","Slow","WEB","0","A","grade1","Lon All",49," AC",14,3,2,"A","NO","NO","Mr","NO","0","2018","4",15,"Sunday","2019","3",25,"Monday","Business_Hour","morning","spring","M"
"571","Extremely Fast","PHONE","0","A","grade3","OTHER",57," AB",14,2,1,"None Required","YES","YES","Mrs","NO","1","2018","4",17,"Tuesday","2019","5",23,"Thursday","Business_Hour","afternoon","spring","F"
"572","Fast","WEB","1","A","grade1","GG",20," AC",14,3,1,"A","NO","NO","Dr","NO","0","2018","4",17,"Tuesday","2018","9",5,"Wednesday","Closed","night","fall","M"
